tab	measurements
measurement	experiment	specimen	treat_dc_field	magn_mass	citations	instrument_codes	method_codes	quality	standard	timestamp
BRIC-20cIRM-VSM2-LP-BCR-BF-19810673	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.3345	0.002988	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810674	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.356	0.002729	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810675	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.3794	0.002443	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810676	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.4038	0.002142	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810677	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.4297	0.00182	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810678	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.4575	0.001476	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810679	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.4868	0.001117	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810680	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.5181	0.0007314	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810681	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.5518	0.0003215	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810682	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.5874	-0.0001041	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810683	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.625	-0.0005405	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
